,X,Y
669,76,28
670,77,28
671,78,28
672,80,28
673,81,28
674,83,28
675,84,28
676,11,29
677,12,29
678,13,29
679,14,29
680,15,29
681,16,29
682,17,29
683,18,29
684,19,29
685,20,29
686,21,29
687,22,29
688,23,29
689,24,29
690,25,29
691,26,29
692,27,29
693,28,29
694,29,29
695,30,29
696,31,29
697,34,29
698,35,29
699,36,29
700,37,29
701,38,29
702,39,29
703,40,29
704,41,29
705,42,29
706,43,29
707,44,29
708,45,29
709,46,29
710,47,29
711,48,29
712,49,29
713,50,29
714,51,29
715,52,29
716,53,29
717,54,29
718,55,29
719,58,29
720,59,29
721,60,29
722,61,29
723,62,29
724,63,29
725,64,29
726,65,29
727,66,29
728,67,29
729,68,29
730,69,29
731,70,29
732,71,29
733,72,29
734,73,29
735,74,29
736,75,29
737,76,29
738,77,29
739,78,29
740,81,29
741,82,29
742,83,29
743,84,29
744,85,29
745,11,30
746,12,30
747,13,30
748,14,30
749,15,30
750,16,30
751,17,30
752,18,30
753,19,30
754,20,30
755,21,30
756,22,30
757,23,30
758,24,30
759,25,30
760,26,30
761,27,30
762,28,30
763,29,30
764,30,30
765,31,30
766,34,30
767,35,30
768,36,30
769,37,30
770,38,30
771,39,30
772,40,30
773,41,30
774,42,30
775,43,30
776,44,30
777,45,30
778,46,30
779,47,30
780,48,30
781,49,30
782,50,30
783,51,30
784,52,30
785,53,30
786,54,30
787,55,30
788,56,30
789,58,30
790,59,30
791,60,30
792,61,30
793,64,30
794,65,30
795,66,30
796,67,30
797,68,30
798,69,30
799,70,30
800,71,30
801,72,30
802,73,30
803,74,30
804,75,30
805,76,30
806,77,30
807,78,30
808,79,30
809,80,30
810,81,30
811,82,30
812,83,30
813,84,30
814,85,30
815,86,30
816,87,30
817,11,31
818,12,31
819,13,31
820,14,31
821,15,31
822,16,31
823,17,31
824,18,31
825,19,31
826,20,31
827,21,31
828,22,31
829,23,31
830,24,31
831,25,31
832,26,31
833,27,31
834,28,31
835,29,31
836,31,31
837,32,31
838,33,31
839,34,31
840,35,31
841,36,31
842,37,31
843,38,31
844,39,31
845,40,31
846,41,31
847,42,31
848,43,31
849,44,31
850,45,31
851,46,31
852,47,31
853,48,31
854,49,31
855,50,31
856,51,31
857,52,31
858,53,31
859,54,31
860,55,31
861,56,31
862,57,31
863,58,31
864,59,31
865,60,31
866,61,31
867,62,31
868,63,31
869,64,31
870,65,31
871,66,31
872,67,31
873,68,31
874,69,31
875,70,31
876,71,31
877,72,31
878,73,31
879,74,31
880,75,31
881,76,31
882,77,31
883,78,31
884,79,31
885,80,31
886,81,31
887,82,31
888,83,31
889,84,31
890,85,31
891,86,31
892,87,31
893,11,32
894,12,32
895,13,32
896,14,32
897,15,32
898,16,32
899,17,32
900,18,32
901,19,32
902,20,32
903,21,32
904,22,32
905,23,32
906,24,32
907,25,32
908,28,32
909,29,32
910,30,32
911,31,32
912,32,32
913,34,32
914,35,32
915,36,32
916,37,32
917,38,32
918,39,32
919,40,32
920,41,32
921,42,32
922,44,32
923,45,32
924,46,32
925,47,32
926,48,32
927,49,32
928,50,32
929,51,32
930,52,32
931,53,32
932,54,32
933,55,32
934,56,32
935,57,32
936,58,32
937,59,32
938,61,32
939,62,32
940,63,32
941,64,32
942,65,32
943,66,32
944,67,32
945,68,32
946,69,32
947,70,32
948,71,32
949,72,32
950,73,32
951,74,32
952,75,32
953,76,32
954,78,32
955,79,32
956,80,32
957,81,32
958,82,32
959,83,32
960,84,32
961,85,32
962,86,32
963,87,32
964,88,32
965,89,32
966,11,33
967,12,33
968,13,33
969,14,33
970,15,33
971,16,33
972,17,33
973,18,33
974,19,33
975,20,33
976,21,33
977,22,33
978,23,33
979,24,33
980,25,33
981,26,33
982,27,33
983,28,33
984,30,33
985,31,33
986,32,33
987,34,33
988,35,33
989,36,33
990,37,33
991,38,33
992,39,33
993,40,33
994,41,33
995,44,33
996,45,33
997,46,33
998,47,33
999,48,33
1000,49,33
1001,50,33
1002,51,33
1003,52,33
1004,53,33
1005,54,33
1006,55,33
1007,56,33
1008,57,33
1009,58,33
1010,59,33
1011,60,33
1012,61,33
1013,62,33
1014,63,33
1015,64,33
1016,65,33
1017,66,33
1018,67,33
1019,68,33
1020,69,33
1021,70,33
1022,71,33
1023,72,33
1024,73,33
1025,74,33
1026,75,33
1027,76,33
1028,77,33
1029,78,33
1030,79,33
1031,80,33
1032,81,33
1033,82,33
1034,83,33
1035,84,33
1036,85,33
1037,86,33
1038,87,33
1039,88,33
1040,89,33
1041,90,33
1042,11,34
1043,12,34
1044,13,34
1045,14,34
1046,15,34
1047,16,34
1048,17,34
1049,18,34
1050,19,34
1051,20,34
1052,21,34
1053,22,34
1054,23,34
